Name,Type,Name (ar),Caza,Investment Authorization Nb,Phone
,,,,,
Baabda governmental hospital,Governmental Hospitals,مستشفى بعبدا الجامعي الحكومي,BAABDA,,05/920041
Baalbeck governmental hospital,Governmental Hospitals,مستشفى بعلبك الحكومي,BAALBECK,,08/370880
Bcharreh governmental hospital,Governmental Hospitals,مستشفى بشري الحكومي,Bcharreh,324268,06/671357
beirut governmental hospital,Governmental Hospitals,مستشفى بيروت الجامعي,Beirut,,01/830000
Bent jbeil  governmental hospital,Governmental Hospitals,مستشفى بنت جبيل الحكومي,BENT JBEIL,,07/452000
Daher elbachek governmental hospital,Governmental Hospitals,مستشفى ضهر الباشق الحكومي الجامعي,EL MATEN,,04/872148 04/872150->55
Dr Abdullah Al Rassi Governmental Hospital,Governmental Hospitals,مستشفى الدكتور عبدالله الراسي الحكومي,Akkar,25/06/1999-883,06/694455 - 06/693944
Ehden governmental hospital,Governmental Hospitals,مستشفى اهدن الحكومي,ZGHARTA,,06/561701
Ftouh keserwan governmental hospital,Governmental Hospitals,مستشفى فتوح كسروان الحكومي,Kesseroune,"1425,3/2/2005",09/440440
Governmental Hospital of Beirut Quarantine,Governmental Hospitals,مستشفى بيروت الحكومي - الكرنتينا,Beirut,___,01/442110
Hasbaya governmental hospital,Governmental Hospitals,مستشفى حاصبيا الحكومي,Hasbaya,,07/550420-30-40
Hermel governmental hospital,Governmental Hospitals,مستشفى الهرمل الحكومي,HERMEL,,08/225310-12-13
Jezzine governmental hospital,Governmental Hospitals,مستشفى جزين الحكومي,Jezzine,no,07/780106
Kana governmental hospital,Governmental Hospitals,مستشفى قانا,NABATIYE,,
Kartaba Governmental Hospital,Governmental Hospitals,مستشفى قرطبا الحكومي,Jbeil,,09/405985/6
Marjaayoun governmental hospital,Governmental Hospitals,مستشفى مرجعيون الحكومي,Marjaayoun,850   5/11/2007,07/830066
Mays  el jabal governmental hospital,Governmental Hospitals,مستشفى ميس الجبل الحكومي,Marjaayoun,9283   19/9/2002,07/866102-4
Nabatieh governmental hospital,Governmental Hospitals,مستشفى النبطية الحكومي,El Nabatieh,yes,07/766777- 07/766888
Orange Nassau governmental hospital,Governmental Hospitals,مستشفى اورانج ناسو الحكومي,TRIPOLI,,06/435997 - 06/428200
President elias harawi governmental HOSPITAL,Governmental Hospitals,مستشفى الرئيس الياس الهراوي الحكومي,Zahle,no,08/825600
Rachaya governmental hospital,Governmental Hospitals,مستشفى راشيا الحكومي,Rachaya,2136/ 7-1-2000,08/591503
saida governmental hospital,Governmental Hospitals,مستشفى صيدا الحكومي الجامعي,saida,7415-13/2/2007,07/721606 - 07/751329
Shahar gharbi govermental hospital,Governmental Hospitals,مستشفى الشحار الغربي الحكومي,Aley,مرسوم رقم 15934 - 13/12/2005,05/410712
Siblin governmental hospital,Governmental Hospitals,مستشفى سبلين الحكومي,Ech Chouf,pub,07/971723-25
Sir Denniye governmental hospital,Governmental Hospitals,مستشفى سير الضنية الحكومي,El Minieh-Dennie,مرسوم رقم 2135 تاريخ 7/1/2000,06/491911-12
sour governmental hospital,Governmental Hospitals,مستشفى صور الحكومي,SOUR,,07/740293
Tannourine governmental hospital,Governmental Hospitals,مستشفى تنورين الحكومي,El Batroun,,06/520555
Tebnin  governmental hospital,Governmental Hospitals,مستشفى تبنين الحكومي,BENT JBEIL,,07/325528
Tripoli governmental hospital,Governmental Hospitals,مستشفى طرابلس الحكومي,Tripoli,7262 - 25/1/2002,06/385300
