Name,Type,Name (ar),Caza,Investment Authorization Nb,Phone
,,,,,
Ain Wzen Hospital,Private Hospitals,مستشفى عين وزين,Al Chouf,6/2/1998   4021/710,05/509001/2/3/4
Akkar Rahal Hospital,Private Hospitals,مستشفى عكار- رحال,Akkar,رقم 113/1/ تاريخ 13/3/1982,06/690000  -691103
Al Batoul Hospital,Private Hospitals,البتول,Hermel,,08/200118
Al Hamshari Hospital,Private Hospitals,مستشفى الهمشري جمعية الهلال الاحمر الفلسطيني,Saida,غير متوفر بعلم من وزارة الصحة,07/724881/
Al Hayat Hospital,Private Hospitals,مستشفى الحياة,Baabda,,01-277805
Al Hikme Hospital,Private Hospitals,مستشفى الحكمة,El Nabatieh,1/31-27/1/2007,07/765362
Al Iman Hospital,Private Hospitals,مستشفى الايمان,Aley,280 - 1980,05/554264 – 555692
Al Jabal Hospital,Private Hospitals,مستشفى الجبل,Aley,,05-360555
Al Kheir Hospital- Miniyeh,Private Hospitals,مستشفى الخير المنية,El Minieh-Dennie,261/1    28/4/1998,06/461444-555-666
Al Manara Doctors Hospital,Private Hospitals,مستشفى الاطباء المنارة,West Bekaa,251/1- /6/4/1999,08/563101/2  ext 105
Al Mounla Hospital,Private Hospitals,مستشفى  المنلا,Tripoli,34.8/1-16/11/1982,06/207000
Al Rahban Hospital,Private Hospitals,مستشفى الرهبان,Zgharta,22/9/1998.1101/1,6662871
Al Rahma Hospital,Private Hospitals,مستشفى الرحمة الخيري,Tripoli,504/1 - 6/8/1998,06/448324
Al Rayan Hospital,Private Hospitals,الريان,Baalabak,,08/372182 –08/ 373682
AL Salam Hospital,Private Hospitals,مستشفى  السلام,Tripoli,701/1-16/4/1997,06/411700/1/2/3/4/5
Al Tatari Hospital,Private Hospitals,الططري,Baalabak,,08/370799   -08/371903
Al Watani Hospital,Private Hospitals,مؤسسة الخدمات الصحية - مستشفى الايمان,Aley,قرار رقم 65 - 23/12/1980,05/557880/1/2/5
